integrateCrit
    Result	       Time	 Acceleration
  0.666667	   0.372318	         1
  0.666667	   0.186381	    1.99762
  0.666667	   0.124239	    2.99679
  0.666667	  0.0931642	    3.99636
  0.666667	  0.0745576	     4.9937
  0.666667	  0.0621625	    5.98943
  0.666667	   0.053522	    6.95636
  0.666667	  0.0466683	    7.97797
  0.666667	   0.041478	    8.97628
  0.666667	  0.0373309	    9.97345
  0.666667	  0.0339792	    10.9572
  0.666667	  0.0311241	    11.9624
  0.666667	  0.0509828	    7.30281
  0.666667	  0.0515206	    7.22658
  0.666667	  0.0492508	    7.55964
  0.666667	  0.0489965	    7.59887
  0.666667	  0.0453959	    8.20158
  0.666667	  0.0400643	    9.29302
  0.666667	  0.0379714	    9.80522
  0.666667	  0.0360685	    10.3225
  0.666667	  0.0343549	    10.8374
  0.666667	  0.0328036	    11.3499
  0.666667	  0.0313748	    11.8668
  0.666667	  0.0300682	    12.3825

integrateMutex
    Result	       Time	 Acceleration
  0.666667	   0.407706	         1
  0.666667	   0.201419	    2.02417
  0.666667	   0.134221	    3.03757
  0.666667	    0.10087	     4.0419
  0.666667	  0.0806701	    5.05399
  0.666667	  0.0672985	    6.05817
  0.666667	  0.0576782	    7.06863
  0.666667	   0.050501	    8.07323
  0.666667	  0.0449885	    9.06245
  0.666667	  0.0404983	    10.0672
  0.666667	  0.0368721	    11.0573
  0.666667	  0.0339254	    12.0177
  0.666667	  0.0594745	    6.85514
  0.666667	  0.0551501	    7.39267
  0.666667	  0.0520121	    7.83868
  0.666667	  0.0486094	    8.38738
  0.666667	  0.0455335	    8.95397
  0.666667	  0.0433441	    9.40626
  0.666667	  0.0410034	    9.94322
  0.666667	  0.0390698	    10.4353
  0.666667	   0.037029	    11.0104
  0.666667	  0.0355731	    11.4611
  0.666667	   0.033937	    12.0136
  0.666667	  0.0326752	    12.4775

integrateArr
    Result	       Time	 Acceleration
  0.666667	   0.453583	         1
  0.666667	   0.650917	   0.696836
  0.666667	   0.539772	   0.840323
  0.666667	   0.617425	   0.734636
  0.666667	   0.463658	    0.97827
  0.666667	   0.635892	   0.713301
  0.666667	   0.565635	     0.8019
  0.666667	   0.509438	   0.890359
  0.666667	   0.383829	    1.18173
  0.666667	   0.364678	    1.24379
  0.666667	   0.469943	   0.965186
  0.666667	    0.41235	    1.09999
  0.666667	   0.408364	    1.11073
  0.666667	   0.400091	     1.1337
  0.666667	   0.396789	    1.14313
  0.666667	   0.409494	    1.10767
  0.666667	   0.435724	    1.04099
  0.666667	    0.41119	     1.1031
  0.666667	   0.418456	    1.08394
  0.666667	   0.382195	    1.18678
  0.666667	   0.408286	    1.11094
  0.666667	   0.390641	    1.16113
  0.666667	   0.383115	    1.18393
  0.666667	   0.397237	    1.14185

integrateArrAlign
    Result	       Time	 Acceleration
  0.666667	   0.457365	         1
  0.666667	   0.227962	    2.00632
  0.666667	   0.151898	    3.01099
  0.666667	     0.1139	     4.0155
  0.666667	  0.0911122	     5.0198
  0.666667	  0.0759445	    6.02235
  0.666667	  0.0651372	    7.02156
  0.666667	  0.0570174	    8.02149
  0.666667	  0.0506463	    9.03057
  0.666667	  0.0455772	    10.0349
  0.666667	  0.0415649	    11.0036
  0.666667	  0.0380601	    12.0169
  0.666667	  0.0643049	    7.11244
  0.666667	  0.0623043	    7.34083
  0.666667	  0.0571031	    8.00946
  0.666667	  0.0552984	    8.27085
  0.666667	  0.0504087	    9.07314
  0.666667	  0.0476026	    9.60797
  0.666667	  0.0451028	    10.1405
  0.666667	  0.0428294	    10.6788
  0.666667	  0.0408029	    11.2091
  0.666667	  0.0396529	    11.5342
  0.666667	  0.0381591	    11.9857
  0.666667	  0.0365149	    12.5254

integrateReduction
    Result	       Time	 Acceleration
  0.666667	   0.357073	         1
  0.666667	   0.178027	    2.00572
  0.666667	   0.118561	    3.01171
  0.666667	  0.0888925	     4.0169
  0.666667	  0.0711602	    5.01787
  0.666667	  0.0592713	    6.02438
  0.666667	  0.0508414	    7.02326
  0.666667	  0.0444908	    8.02576
  0.666667	  0.0395464	     9.0292
